id_evento,usuario,area,hora,volumen_mb,carpetas_distintas,fuera_de_horario,pais,pais_inusual,clasificacion_forense
EV1073,vent04,ventas_campo,15.15,46.2,4,0,CR,0,normal
EV1049,vent07,ventas_campo,11.27,62.7,8,0,CR,0,normal
EV0205,cont08,contabilidad,12.43,39.1,5,0,CR,0,normal
EV0695,sopo11,soporte_de_equipos,14.01,154.4,16,0,CR,0,normal
EV1759,ti_i06,ti_infraestructura,3.38,346.1,34,1,CR,0,normal
EV0285,cont07,contabilidad,12.18,33.9,1,0,CR,0,normal
EV1867,ti_i02,ti_infraestructura,1.61,270.8,20,1,CR,0,normal
EV1927,ti_i05,ti_infraestructura,3.48,302.8,26,1,CR,0,normal
EV1887,ti_i02,ti_infraestructura,2.99,305.0,22,1,CR,0,normal
EV1725,ti_i04,ti_infraestructura,3.23,352.2,23,1,CR,0,normal
EV0869,sopo09,soporte_de_equipos,17.44,119.1,17,0,CR,0,normal
EV1892,ti_i05,ti_infraestructura,3.72,232.1,15,1,CR,0,normal
EV1783,ti_i03,ti_infraestructura,3.8,199.8,20,1,CR,0,normal
EV1704,ti_i04,ti_infraestructura,2.11,246.4,33,1,CR,0,normal
EV0803,sopo04,soporte_de_equipos,6.39,170.3,18,1,CR,0,normal
EV1303,vent09,ventas_campo,17.0,55.7,9,0,CR,0,normal
EV1275,vent06,ventas_campo,18.52,41.9,5,0,CR,0,normal
EV1038,vent05,ventas_campo,11.32,68.1,3,0,CR,0,normal
EV0596,sopo05,soporte_de_equipos,12.92,116.1,17,0,CR,0,normal
EV1913,ti_i03,ti_infraestructura,4.27,315.7,26,1,CR,0,normal
EV1825,ti_i05,ti_infraestructura,1.48,352.0,28,1,CR,0,normal
EV1029,vent02,ventas_campo,20.85,83.2,9,1,CR,0,normal
EV0351,cont02,contabilidad,8.6,38.0,4,0,CR,0,normal
EV1090,vent10,ventas_campo,8.5,97.0,4,0,PA,0,normal
EV0003,cont14,contabilidad,8.38,57.9,4,0,CR,0,normal
EV1076,vent09,ventas_campo,19.89,40.5,6,1,CR,0,normal
EV1505,lega05,legal,12.1,20.7,4,0,CR,0,normal
EV0111,cont06,contabilidad,12.79,34.6,6,0,CR,0,normal
EV1063,vent04,ventas_campo,12.47,60.6,10,0,CR,0,normal
EV0109,cont03,contabilidad,9.59,32.6,2,0,CR,0,normal
EV0919,sopo06,soporte_de_equipos,19.16,108.2,12,1,CR,0,normal
EV0501,cont11,contabilidad,10.23,26.2,4,0,CR,0,normal
EV0362,cont11,contabilidad,10.65,58.4,5,0,CR,0,normal
EV1548,lega01,legal,12.56,21.3,1,0,CR,0,normal
EV1282,vent01,ventas_campo,10.43,48.5,1,0,CR,0,normal
EV1159,vent03,ventas_campo,15.26,72.4,5,0,CR,0,normal
EV1328,vent06,ventas_campo,17.86,82.6,4,0,CR,0,normal
EV0197,cont09,contabilidad,10.4,48.6,5,0,CR,0,normal
EV1818,ti_i05,ti_infraestructura,0.28,432.8,30,1,CR,0,normal
EV0238,cont02,contabilidad,11.24,29.0,4,0,CR,0,normal
EV0789,sopo03,soporte_de_equipos,18.46,65.1,10,0,CR,0,normal
EV0721,sopo11,soporte_de_equipos,10.6,48.9,12,0,CR,0,normal
EV1296,vent06,ventas_campo,12.42,28.5,6,0,CR,0,normal
EV1410,lega07,legal,12.84,15.1,4,0,CR,0,normal
EV1705,ti_i03,ti_infraestructura,3.41,449.5,32,1,CR,0,normal
EV0545,sopo04,soporte_de_equipos,22.17,125.8,16,1,CR,0,normal
EV1261,vent04,ventas_campo,13.24,56.8,9,0,CR,0,normal
EV1885,ti_i03,ti_infraestructura,2.82,347.2,32,1,CR,0,normal
EV1307,vent01,ventas_campo,17.7,49.2,5,0,CR,0,normal
EV0846,sopo04,soporte_de_equipos,16.15,79.0,12,0,CR,0,normal
EV0842,sopo06,soporte_de_equipos,10.64,115.0,16,0,CR,0,normal
EV1318,vent01,ventas_campo,18.0,61.9,9,0,CR,0,normal
EV1546,lega06,legal,10.26,23.3,3,0,CR,0,normal
EV1648,lega07,legal,10.71,14.4,5,0,CR,0,normal
EV1734,ti_i01,ti_infraestructura,1.69,365.2,22,1,CR,0,normal
